REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HP15-59W
PATNUM:,4717B
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20011201
LOWFRQ:, 5925 
HGHFRQ:, 7125 
GUNITS:,DBI/DBR
LWGAIN:,46.1
MDGAIN:,46.8
HGGAIN:,47.8
AZWIDT:,0.8
ELWIDT:,0.8
ATVSWR:,1.06
FRTOBA:,71
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:, 23 
-180.00,-71.00,
-100.00,-71.00,
-80.00,-48.00,
-30.00,-48.00,
-15.00,-42.80,
-12.25,-38.25,
-3.20,-23.00,
-1.50,-23.00,
-1.30,-17.00,
-1.00,-8.00,
-0.50,-1.80,
0.00,0.00,
0.50,-1.80,
1.00,-8.00,
1.30,-17.00,
1.50,-23.00,
3.20,-23.00,
12.25,-38.25,
15.00,-42.80,
30.00,-48.00,
80.00,-48.00,
100.00,-71.00,
180.00,-71.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:, 21 
-180.00,-71.00,
-100.00,-71.00,
-80.00,-57.00,
-72.00,-57.00,
-70.00,-56.00,
-10.50,-56.00,
-10.00,-54.00,
-7.00,-40.00,
-4.00,-40.00,
-3.00,-30.00,
0.00,-30.00,
3.00,-30.00,
4.00,-40.00,
7.00,-40.00,
10.00,-54.00,
10.50,-56.00,
70.00,-56.00,
72.00,-57.00,
80.00,-57.00,
100.00,-71.00,
180.00,-71.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:, 33 
-180.00,-71.00,
-100.00,-71.00,
-79.00,-47.00,
-30.00,-47.00,
-27.00,-45.00,
-18.00,-39.00,
-15.00,-39.00,
-8.20,-26.00,
-5.00,-26.00,
-5.00,-24.50,
-3.36,-23.25,
-3.20,-23.00,
-1.50,-23.00,
-1.30,-17.00,
-1.00,-8.00,
-0.50,-1.80,
0.00,0.00,
0.50,-1.80,
1.00,-8.00,
1.30,-17.00,
1.50,-23.00,
3.20,-23.00,
3.36,-23.25,
5.00,-24.50,
5.00,-26.00,
8.20,-26.00,
15.00,-39.00,
18.00,-39.00,
27.00,-45.00,
30.00,-47.00,
79.00,-47.00,
100.00,-71.00,
180.00,-71.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:, 29 
-180.00,-71.00,
-100.00,-71.00,
-80.00,-57.00,
-72.00,-57.00,
-70.00,-56.00,
-25.00,-56.00,
-20.50,-55.00,
-15.00,-54.00,
-11.00,-52.00,
-10.00,-48.75,
-9.00,-45.00,
-6.30,-45.00,
-5.50,-41.25,
-3.00,-30.00,
0.00,-30.00,
3.00,-30.00,
5.50,-41.25,
6.30,-45.00,
9.00,-45.00,
10.00,-48.75,
11.00,-52.00,
15.00,-54.00,
20.50,-55.00,
25.00,-56.00,
70.00,-56.00,
72.00,-57.00,
80.00,-57.00,
100.00,-71.00,
180.00,-71.00,
ENDFIL:,EOF
