REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HSX12-44
PATNUM:,2416B
FEDORN:,LEFT 
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19960612
LOWFRQ:,4400
HGHFRQ:,5000
GUNITS:,DBI/DBR
LWGAIN:,41.7
MDGAIN:,42.2
HGGAIN:,42.8
AZWIDT:,1.20
ELWIDT:,1.20
ATVSWR:,1.06
FRTOBA:,74.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,57
-180.00,-74.00,
-93.00,-74.00,
-80.00,-64.00,
-76.00,-64.00,
-70.00,-57.00,
-42.00,-57.00,
-38.00,-52.50,
-27.00,-52.50,
-25.00,-50.50,
-19.00,-50.50,
-15.00,-45.80,
-14.50,-43.50,
-9.40,-43.50,
-9.00,-39.50,
-7.50,-39.50,
-6.50,-34.50,
-5.00,-34.50,
-4.50,-31.00,
-3.00,-31.00,
-2.50,-23.50,
-2.00,-23.50,
-1.68,-19.20,
-1.44,-14.85,
-1.20,-8.77,
-0.96,-6.58,
-0.72,-3.39,
-0.48,-1.72,
-0.24,-0.04,
0.00,0.00,
0.24,-0.01,
0.48,-1.11,
0.72,-2.43,
0.96,-5.14,
1.20,-7.06,
1.44,-11.83,
1.68,-16.09,
1.83,-18.79,
2.10,-21.50,
2.40,-21.50,
3.25,-30.00,
4.50,-30.00,
5.00,-31.00,
9.00,-31.00,
10.00,-39.00,
13.00,-39.00,
13.50,-41.20,
15.00,-41.20,
20.00,-41.20,
23.00,-47.00,
30.00,-47.00,
32.00,-50.00,
42.00,-50.00,
46.00,-54.00,
72.00,-54.00,
83.00,-67.00,
103.00,-74.00,
180.00,-74.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,20
-180.00,-74.00,
-62.00,-74.00,
-46.00,-71.00,
-38.00,-68.00,
-9.50,-68.00,
-9.00,-63.00,
-6.00,-63.00,
-5.00,-62.00,
-3.00,-62.00,
-1.50,-40.00,
0.00,-40.00,
1.50,-40.00,
2.50,-58.50,
5.00,-58.50,
6.00,-60.00,
15.00,-60.00,
25.00,-67.00,
49.00,-67.00,
62.00,-74.00,
180.00,-74.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,57
-180.00,-74.00,
-87.00,-74.00,
-78.00,-60.00,
-71.00,-60.00,
-66.00,-54.00,
-56.00,-54.00,
-52.00,-53.00,
-41.00,-53.00,
-39.00,-51.50,
-22.00,-51.50,
-15.00,-46.00,
-13.50,-46.00,
-12.50,-41.80,
-9.70,-41.80,
-9.00,-34.50,
-7.40,-34.50,
-6.90,-32.50,
-3.00,-32.50,
-2.40,-24.50,
-2.00,-24.50,
-1.85,-22.27,
-1.68,-19.44,
-1.44,-14.71,
-1.20,-8.79,
-0.96,-6.45,
-0.72,-3.11,
-0.48,-1.56,
-0.24,-0.01,
0.00,0.00,
0.24,-0.01,
0.48,-1.23,
0.72,-2.68,
0.96,-5.78,
1.20,-8.21,
1.44,-13.30,
1.68,-17.18,
1.85,-19.45,
2.00,-21.50,
2.40,-21.50,
3.10,-28.00,
4.00,-28.00,
4.70,-31.50,
8.00,-31.50,
9.50,-40.00,
14.00,-40.00,
15.00,-44.00,
20.00,-44.00,
30.00,-48.50,
40.00,-48.50,
42.00,-53.00,
59.00,-53.00,
62.00,-55.00,
70.00,-55.00,
80.00,-68.50,
87.00,-68.50,
97.00,-74.00,
180.00,-74.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,28
-180.00,-74.00,
-39.00,-74.00,
-30.00,-70.00,
-15.00,-68.00,
-10.50,-68.00,
-9.75,-60.00,
-4.50,-60.00,
-4.00,-58.00,
-2.50,-58.00,
-1.50,-40.00,
0.00,-40.00,
1.50,-40.00,
2.50,-56.00,
4.50,-56.00,
5.20,-58.00,
6.50,-58.00,
7.20,-60.00,
14.00,-60.00,
14.50,-62.00,
15.00,-62.00,
29.00,-62.00,
32.00,-66.00,
48.00,-68.50,
67.00,-68.50,
72.00,-72.50,
80.00,-72.50,
82.00,-74.00,
180.00,-74.00,
ENDFIL:,EOF
