REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HSX10-82
PATNUM:,1232
FEDORN:,LEFT 
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19960827
LOWFRQ:,8200
HGHFRQ:,8500
GUNITS:,DBI/DBR
LWGAIN:,45.3
MDGAIN:,45.4
HGGAIN:,45.5
AZWIDT:,0.80
ELWIDT:,0.80
ATVSWR:,1.06
FRTOBA:,78.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,72
-180.00,-78.00,
-90.00,-78.00,
-80.00,-70.00,
-75.00,-65.20,
-70.00,-63.10,
-64.39,-63.10,
-60.00,-59.90,
-54.31,-59.90,
-50.00,-56.60,
-40.06,-56.60,
-40.00,-56.60,
-36.50,-56.30,
-30.00,-50.00,
-22.33,-50.00,
-20.00,-47.10,
-15.00,-47.10,
-12.98,-47.10,
-12.00,-44.30,
-11.00,-41.60,
-6.89,-41.60,
-6.00,-35.10,
-3.49,-35.10,
-3.00,-33.30,
-2.17,-33.30,
-2.11,-32.10,
-1.95,-31.10,
-1.79,-30.60,
-1.63,-30.00,
-1.46,-26.29,
-1.30,-19.35,
-1.14,-13.95,
-0.98,-9.54,
-0.81,-6.23,
-0.65,-3.15,
-0.49,-1.72,
-0.33,-0.30,
-0.16,-0.01,
0.00,0.00,
0.16,-0.01,
0.33,-0.30,
0.49,-1.72,
0.65,-3.15,
0.81,-6.23,
0.98,-9.65,
1.14,-18.87,
1.30,-23.40,
1.46,-24.30,
1.63,-24.80,
1.79,-25.10,
2.00,-25.30,
2.50,-31.30,
6.50,-31.30,
7.00,-36.10,
8.00,-40.40,
8.17,-42.20,
12.00,-42.20,
12.04,-42.80,
15.00,-42.80,
20.00,-42.80,
24.20,-46.40,
30.00,-46.40,
33.62,-51.70,
40.00,-51.70,
43.41,-55.60,
60.00,-55.60,
62.51,-57.80,
70.00,-57.80,
77.00,-67.00,
80.00,-67.00,
90.00,-76.90,
93.00,-78.00,
180.00,-78.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,39
-180.00,-79.00,
-71.00,-79.00,
-70.00,-77.30,
-65.00,-73.50,
-54.19,-73.50,
-50.00,-68.50,
-15.00,-68.50,
-12.03,-68.50,
-12.00,-68.20,
-10.69,-68.20,
-10.00,-64.00,
-8.89,-64.00,
-8.00,-58.30,
-6.18,-58.30,
-6.00,-57.80,
-2.50,-57.80,
-1.00,-40.00,
0.00,-40.00,
1.00,-40.00,
2.60,-58.50,
6.00,-58.50,
7.00,-58.80,
7.72,-64.30,
11.00,-64.30,
11.50,-65.80,
15.00,-65.80,
20.00,-65.80,
23.54,-66.80,
30.00,-66.80,
35.00,-67.70,
36.30,-68.20,
45.00,-68.20,
50.00,-70.50,
55.00,-70.90,
56.98,-74.40,
70.00,-74.40,
75.00,-78.70,
76.00,-79.00,
180.00,-79.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,61
-180.00,-78.00,
-82.50,-78.00,
-77.00,-71.00,
-74.00,-71.00,
-70.00,-62.80,
-65.00,-61.40,
-60.00,-59.80,
-57.00,-59.80,
-46.00,-53.80,
-41.75,-53.80,
-40.00,-52.80,
-32.32,-52.80,
-30.00,-50.40,
-25.00,-48.30,
-17.27,-48.30,
-15.00,-47.30,
-11.58,-47.30,
-11.00,-43.50,
-9.00,-43.50,
-8.00,-38.80,
-6.78,-38.80,
-6.00,-33.80,
-3.55,-33.80,
-2.50,-27.80,
-1.47,-27.80,
-1.46,-27.70,
-1.30,-21.30,
-1.14,-13.20,
-0.98,-10.04,
-0.81,-5.79,
-0.65,-3.37,
-0.49,-1.79,
-0.33,-0.22,
-0.16,-0.01,
0.00,0.00,
0.16,-0.01,
0.33,-0.22,
0.49,-1.79,
0.65,-3.37,
0.81,-5.79,
0.98,-10.04,
1.14,-13.20,
1.27,-24.90,
2.00,-24.90,
3.50,-32.80,
6.00,-32.80,
7.00,-34.50,
8.00,-41.70,
15.00,-41.70,
21.50,-41.70,
22.51,-46.00,
30.00,-46.00,
34.00,-52.00,
55.00,-52.00,
60.00,-53.00,
63.62,-61.30,
73.00,-61.30,
78.42,-71.00,
90.00,-71.00,
95.00,-78.00,
180.00,-78.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,37
-180.00,-79.00,
-74.00,-79.00,
-70.00,-72.30,
-65.00,-72.00,
-45.09,-72.00,
-45.00,-72.00,
-40.00,-69.80,
-35.00,-67.30,
-25.21,-67.30,
-25.00,-67.20,
-15.00,-67.20,
-10.58,-67.20,
-10.00,-60.70,
-8.94,-60.70,
-8.00,-56.90,
-4.20,-56.90,
-4.00,-56.60,
-3.00,-53.10,
-1.99,-53.10,
-1.75,-51.30,
-1.00,-40.00,
0.00,-40.00,
1.00,-40.00,
2.00,-52.50,
3.00,-52.50,
3.60,-58.00,
15.00,-58.00,
20.00,-58.00,
22.98,-64.20,
45.00,-64.20,
50.00,-65.30,
52.88,-68.00,
65.00,-68.00,
70.00,-69.60,
75.00,-72.00,
80.00,-79.00,
180.00,-79.00,
ENDFIL:,EOF
