REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PARX8-59
PATNUM:,4378
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19980518
LOWFRQ:,5925
HGHFRQ:,6425
GUNITS:,DBI/DBR
LWGAIN:,40.4
MDGAIN:,40.7
HGGAIN:,40.9
AZWIDT:,1.40
ELWIDT:,1.40
ATVSWR:,1.08
FRTOBA:,60.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,57
-180.00,-60.00,
-104.00,-60.00,
-88.00,-48.00,
-84.00,-46.00,
-70.00,-44.00,
-40.00,-44.00,
-40.00,-43.00,
-27.00,-43.00,
-24.00,-37.00,
-16.00,-37.00,
-15.00,-36.00,
-13.00,-33.00,
-6.00,-33.00,
-4.00,-26.00,
-4.00,-24.00,
-2.32,-22.00,
-2.21,-20.00,
-2.07,-20.00,
-1.92,-16.00,
-1.78,-14.00,
-1.66,-12.00,
-1.52,-10.00,
-1.36,-8.00,
-1.19,-6.00,
-0.99,-3.00,
-0.71,-2.00,
-0.51,-1.00,
-0.32,-0.28,
0.00,0.00,
0.32,-0.28,
0.51,-1.00,
0.71,-2.00,
0.99,-3.00,
1.19,-6.00,
1.36,-8.00,
1.52,-10.00,
1.66,-12.00,
1.78,-14.00,
1.92,-16.00,
2.07,-20.00,
2.21,-20.00,
2.32,-22.00,
4.00,-24.00,
4.00,-26.00,
6.00,-33.00,
13.00,-33.00,
15.00,-36.00,
16.00,-37.00,
24.00,-37.00,
27.00,-43.00,
40.00,-43.00,
40.00,-44.00,
70.00,-44.00,
84.00,-46.00,
88.00,-48.00,
104.00,-60.00,
180.00,-60.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,13
-180.00,-60.00,
-20.00,-60.00,
-15.00,-54.00,
-12.00,-51.00,
-4.00,-51.00,
-1.50,-30.00,
0.00,-30.00,
1.50,-30.00,
4.00,-51.00,
12.00,-51.00,
15.00,-54.00,
20.00,-60.00,
180.00,-60.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,57
-180.00,-60.00,
-96.00,-60.00,
-92.00,-54.00,
-81.00,-50.00,
-76.00,-50.00,
-66.00,-47.00,
-40.00,-47.00,
-36.00,-44.00,
-24.00,-44.00,
-20.00,-36.00,
-20.00,-35.00,
-15.00,-35.00,
-11.00,-33.00,
-7.00,-33.00,
-4.00,-26.00,
-2.36,-22.00,
-2.33,-20.00,
-2.17,-16.00,
-2.00,-16.00,
-1.85,-14.00,
-1.71,-12.00,
-1.57,-10.00,
-1.41,-8.00,
-1.23,-6.00,
-1.00,-4.00,
-0.71,-2.00,
-0.51,-1.00,
-0.32,-0.28,
0.00,0.00,
0.32,-0.28,
0.51,-1.00,
0.71,-2.00,
1.00,-4.00,
1.23,-6.00,
1.41,-8.00,
1.57,-10.00,
1.71,-12.00,
1.85,-14.00,
2.00,-16.00,
2.17,-16.00,
2.33,-20.00,
2.36,-22.00,
4.00,-26.00,
7.00,-33.00,
11.00,-33.00,
15.00,-35.00,
20.00,-35.00,
20.00,-36.00,
24.00,-44.00,
36.00,-44.00,
40.00,-47.00,
66.00,-47.00,
76.00,-50.00,
81.00,-50.00,
92.00,-54.00,
96.00,-60.00,
180.00,-60.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,11
-180.00,-60.00,
-26.00,-60.00,
-15.00,-53.00,
-4.00,-53.00,
-1.50,-30.00,
0.00,-30.00,
1.50,-30.00,
4.00,-53.00,
15.00,-53.00,
26.00,-60.00,
180.00,-60.00,
ENDFIL:,EOF
