REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PAR6-59
PATNUM:,4327A
FEDORN:,NA
DESCR1:,Provisional
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20000921
LOWFRQ:,5725
HGHFRQ:,5850
GUNITS:,DBI/DBR
LWGAIN:,37.7
MDGAIN:,37.8
HGGAIN:,37.9
AZWIDT:,2.00
ELWIDT:,2.00
ATVSWR:,1.25
FRTOBA:,55.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,47
-180.00,-55.00,
-100.50,-55.00,
-99.07,-54.78,
-92.11,-51.13,
-81.80,-42.11,
-22.08,-41.94,
-18.95,-37.95,
-15.79,-36.30,
-15.00,-36.31,
-13.36,-36.09,
-10.51,-32.88,
-8.14,-28.06,
-7.39,-28.06,
-5.99,-25.11,
-4.41,-25.04,
-3.53,-20.72,
-2.50,-15.31,
-2.09,-10.68,
-1.67,-6.67,
-1.34,-3.85,
-0.82,-1.28,
-0.69,-0.81,
-0.28,-0.06,
0.00,0.00,
0.28,-0.06,
0.69,-0.81,
0.82,-1.28,
1.34,-3.85,
1.67,-6.67,
2.09,-10.68,
2.50,-15.31,
3.53,-20.72,
4.41,-25.04,
5.99,-25.11,
7.39,-28.06,
8.14,-28.06,
10.51,-32.88,
13.36,-36.09,
15.00,-36.31,
15.79,-36.30,
18.95,-37.95,
22.08,-41.94,
81.80,-42.11,
92.11,-51.13,
99.07,-54.78,
100.50,-55.00,
180.00,-55.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,15
-180.00,-55.00,
-34.74,-55.00,
-30.00,-52.00,
-20.00,-47.00,
-15.00,-47.00,
-4.07,-47.00,
-2.00,-30.00,
0.00,-30.00,
2.00,-30.00,
4.07,-47.00,
15.00,-47.00,
20.00,-47.00,
30.00,-52.00,
34.74,-55.00,
180.00,-55.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,49
-180.00,-55.00,
-97.63,-55.00,
-89.05,-52.11,
-81.78,-46.05,
-75.79,-44.69,
-65.63,-42.64,
-20.90,-37.96,
-17.12,-37.99,
-16.27,-37.04,
-15.00,-36.75,
-14.26,-36.54,
-12.06,-31.98,
-8.18,-31.34,
-5.27,-26.41,
-3.69,-26.28,
-3.00,-22.69,
-2.67,-18.75,
-2.34,-14.07,
-2.00,-9.30,
-1.67,-6.22,
-1.34,-3.37,
-0.94,-1.44,
-0.75,-0.75,
-0.33,-0.02,
0.00,0.00,
0.33,-0.02,
0.75,-0.75,
0.94,-1.44,
1.34,-3.37,
1.67,-6.22,
2.00,-9.30,
2.34,-14.07,
2.67,-18.75,
3.00,-22.69,
3.69,-26.28,
5.27,-26.41,
8.18,-31.34,
12.06,-31.98,
14.26,-36.54,
15.00,-36.75,
16.27,-37.04,
17.12,-37.99,
20.90,-37.96,
65.63,-42.64,
75.79,-44.69,
81.78,-46.05,
89.05,-52.11,
97.63,-55.00,
180.00,-55.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,11
-180.00,-55.00,
-15.00,-55.00,
-11.52,-49.54,
-4.79,-49.49,
-2.00,-30.00,
0.00,-30.00,
2.00,-30.00,
4.79,-49.49,
11.52,-49.54,
15.00,-55.00,
180.00,-55.00,
ENDFIL:,EOF
