REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PL10-77
PATNUM:,2747F
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20001109
LOWFRQ:,7725
HGHFRQ:,8500
GUNITS:,DBI/DBR
LWGAIN:,44.8
MDGAIN:,45.2
HGGAIN:,45.5
AZWIDT:,0.90
ELWIDT:,0.90
ATVSWR:,1.06
FRTOBA:,58.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,29
-180.00,-58.20,
-170.00,-58.20,
-170.00,-65.00,
-118.50,-65.00,
-92.50,-47.00,
-48.00,-47.00,
-40.00,-45.00,
-15.00,-45.00,
-10.50,-40.00,
-7.40,-40.00,
-4.50,-30.00,
-1.50,-25.00,
-1.00,-11.00,
-0.50,-1.80,
0.00,0.00,
0.50,-1.80,
1.00,-11.00,
1.50,-25.00,
4.50,-30.00,
7.40,-40.00,
10.50,-40.00,
15.00,-45.00,
40.00,-45.00,
48.00,-47.00,
92.50,-47.00,
118.50,-65.00,
170.00,-65.00,
170.00,-58.20,
180.00,-58.20,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,17
-180.00,-65.00,
-34.50,-65.00,
-24.50,-61.00,
-15.00,-61.00,
-12.00,-55.00,
-5.50,-55.00,
-2.50,-51.00,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
2.50,-51.00,
5.50,-55.00,
12.00,-55.00,
15.00,-61.00,
24.50,-61.00,
34.50,-65.00,
180.00,-65.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,33
-180.00,-58.20,
-170.00,-58.20,
-170.00,-65.00,
-115.00,-65.00,
-92.50,-51.10,
-55.00,-51.10,
-35.00,-47.00,
-20.00,-38.10,
-11.50,-38.10,
-10.50,-34.10,
-5.75,-34.10,
-5.50,-33.00,
-4.00,-33.00,
-1.50,-25.00,
-1.00,-11.00,
-0.50,-1.80,
0.00,0.00,
0.50,-1.80,
1.00,-11.00,
1.50,-25.00,
4.00,-33.00,
5.50,-33.00,
5.75,-34.10,
10.50,-34.10,
11.50,-38.10,
20.00,-38.10,
35.00,-47.00,
55.00,-51.10,
92.50,-51.10,
115.00,-65.00,
170.00,-65.00,
170.00,-58.20,
180.00,-58.20,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,21
-180.00,-65.00,
-95.00,-65.00,
-50.00,-63.00,
-30.00,-63.00,
-24.50,-61.00,
-20.00,-61.00,
-15.00,-57.90,
-12.00,-45.80,
-2.10,-45.80,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
2.10,-45.80,
12.00,-45.80,
15.00,-57.90,
20.00,-61.00,
24.50,-61.00,
30.00,-63.00,
50.00,-63.00,
95.00,-65.00,
180.00,-65.00,
ENDFIL:,EOF
