REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,FP12-64
PATNUM:,6123
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19771128
LOWFRQ:,6425
HGHFRQ:,7125
GUNITS:,DBI/DBR
LWGAIN:,44.9
MDGAIN:,45.3
HGGAIN:,45.5
AZWIDT:,0.80
ELWIDT:,0.80
ATVSWR:,1.04
FRTOBA:,68.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,31
-180.00,-68.00,
-109.50,-68.00,
-105.00,-66.00,
-85.00,-49.80,
-20.00,-45.00,
-18.00,-40.00,
-15.00,-40.00,
-14.00,-40.00,
-12.00,-37.00,
-5.00,-35.00,
-5.00,-31.00,
-3.50,-29.00,
-1.30,-19.00,
-1.00,-11.00,
-0.50,-1.70,
0.00,0.00,
0.50,-1.70,
1.00,-11.00,
1.30,-19.00,
3.50,-29.00,
5.00,-31.00,
5.00,-35.00,
12.00,-37.00,
14.00,-40.00,
15.00,-40.00,
18.00,-40.00,
20.00,-45.00,
85.00,-49.80,
105.00,-66.00,
109.50,-68.00,
180.00,-68.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,23
-180.00,-69.00,
-85.00,-69.00,
-50.00,-60.00,
-20.00,-59.00,
-15.00,-53.50,
-13.00,-49.00,
-11.00,-48.00,
-10.00,-46.00,
-4.50,-46.00,
-2.50,-36.00,
-2.00,-30.00,
0.00,-30.00,
2.00,-30.00,
2.50,-36.00,
4.50,-46.00,
10.00,-46.00,
11.00,-48.00,
13.00,-49.00,
15.00,-53.50,
20.00,-59.00,
50.00,-60.00,
85.00,-69.00,
180.00,-69.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,31
-180.00,-68.00,
-109.50,-68.00,
-105.00,-66.00,
-85.00,-49.80,
-20.00,-45.00,
-18.00,-40.00,
-15.00,-40.00,
-14.00,-40.00,
-12.00,-37.00,
-5.00,-35.00,
-5.00,-31.00,
-3.50,-29.00,
-1.30,-19.00,
-1.00,-11.00,
-0.50,-1.70,
0.00,0.00,
0.50,-1.70,
1.00,-11.00,
1.30,-19.00,
3.50,-29.00,
5.00,-31.00,
5.00,-35.00,
12.00,-37.00,
14.00,-40.00,
15.00,-40.00,
18.00,-40.00,
20.00,-45.00,
85.00,-49.80,
105.00,-66.00,
109.50,-68.00,
180.00,-68.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,23
-180.00,-69.00,
-85.00,-69.00,
-50.00,-60.00,
-20.00,-59.00,
-15.00,-53.50,
-13.00,-49.00,
-11.00,-48.00,
-10.00,-46.00,
-4.50,-46.00,
-2.50,-36.00,
-2.00,-30.00,
0.00,-30.00,
2.00,-30.00,
2.50,-36.00,
4.50,-46.00,
10.00,-46.00,
11.00,-48.00,
13.00,-49.00,
15.00,-53.50,
20.00,-59.00,
50.00,-60.00,
85.00,-69.00,
180.00,-69.00,
ENDFIL:,EOF
