REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,P4-57W
PATNUM:,4268
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19960129
LOWFRQ:,5725
HGHFRQ:,6425
GUNITS:,DBI/DBR
LWGAIN:,34.6
MDGAIN:,35.0
HGGAIN:,35.4
AZWIDT:,2.90
ELWIDT:,2.90
ATVSWR:,1.10
FRTOBA:,40.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,43
-180.00,-40.00,
-170.00,-40.00,
-170.00,-46.50,
-149.00,-46.50,
-100.00,-33.50,
-24.50,-33.50,
-15.00,-28.00,
-10.80,-28.00,
-8.70,-23.00,
-5.30,-23.00,
-4.10,-19.00,
-3.50,-19.00,
-3.00,-12.00,
-2.00,-5.70,
-1.75,-4.40,
-1.50,-3.20,
-1.25,-2.20,
-1.00,-1.40,
-0.75,-0.80,
-0.50,-0.36,
-0.25,-0.09,
0.00,0.00,
0.25,-0.09,
0.50,-0.36,
0.75,-0.80,
1.00,-1.40,
1.25,-2.20,
1.50,-3.20,
1.75,-4.40,
2.00,-5.70,
3.00,-12.00,
3.50,-19.00,
4.10,-19.00,
5.30,-23.00,
8.70,-23.00,
10.80,-28.00,
15.00,-28.00,
24.50,-33.50,
100.00,-33.50,
149.00,-46.50,
170.00,-46.50,
170.00,-40.00,
180.00,-40.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,17
-180.00,-53.00,
-115.00,-53.00,
-96.00,-45.00,
-50.00,-45.00,
-15.00,-43.00,
-4.10,-43.00,
-3.00,-40.00,
-2.60,-30.00,
0.00,-30.00,
2.60,-30.00,
3.00,-40.00,
4.10,-43.00,
15.00,-43.00,
50.00,-45.00,
96.00,-45.00,
115.00,-53.00,
180.00,-53.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,53
-180.00,-43.00,
-170.00,-43.00,
-170.00,-50.00,
-150.00,-50.00,
-126.50,-46.00,
-106.00,-36.00,
-80.00,-34.00,
-60.00,-40.00,
-50.00,-40.00,
-22.00,-28.00,
-15.00,-28.00,
-13.30,-26.50,
-9.80,-26.50,
-8.80,-21.50,
-5.10,-21.50,
-4.00,-18.00,
-3.40,-18.00,
-3.00,-12.00,
-2.00,-5.70,
-1.75,-4.40,
-1.50,-3.20,
-1.25,-2.20,
-1.00,-1.40,
-0.75,-0.80,
-0.50,-0.36,
-0.25,-0.09,
0.00,0.00,
0.25,-0.09,
0.50,-0.36,
0.75,-0.80,
1.00,-1.40,
1.25,-2.20,
1.50,-3.20,
1.75,-4.40,
2.00,-5.70,
3.00,-12.00,
3.40,-18.00,
4.00,-18.00,
5.10,-21.50,
8.80,-21.50,
9.80,-26.50,
13.30,-26.50,
15.00,-28.00,
22.00,-28.00,
50.00,-40.00,
60.00,-40.00,
80.00,-34.00,
106.00,-36.00,
126.50,-46.00,
150.00,-50.00,
170.00,-50.00,
170.00,-43.00,
180.00,-43.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,15
-180.00,-50.00,
-118.00,-50.00,
-85.00,-48.00,
-36.00,-48.00,
-15.00,-46.00,
-4.00,-44.00,
-2.60,-30.00,
0.00,-30.00,
2.60,-30.00,
4.00,-44.00,
15.00,-46.00,
36.00,-48.00,
85.00,-48.00,
118.00,-50.00,
180.00,-50.00,
ENDFIL:,EOF
