REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PX12-127
PATNUM:,3226C
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19810821
LOWFRQ:,12700
HGHFRQ:,13250
GUNITS:,DBI/DBR
LWGAIN:,50.8
MDGAIN:,50.9
HGGAIN:,51.1
AZWIDT:,0.50
ELWIDT:,0.50
ATVSWR:,1.10
FRTOBA:,58.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,35
-180.00,-58.00,
-170.00,-58.00,
-169.00,-65.00,
-120.00,-65.00,
-104.50,-50.10,
-86.00,-53.70,
-70.00,-54.80,
-50.00,-48.00,
-30.00,-48.00,
-20.00,-46.00,
-13.00,-46.00,
-8.00,-35.00,
-4.00,-31.00,
-2.50,-28.00,
-1.60,-20.00,
-1.10,-20.00,
-0.50,-4.00,
0.00,0.00,
0.50,-4.00,
1.10,-20.00,
1.60,-20.00,
2.50,-28.00,
4.00,-31.00,
8.00,-35.00,
13.00,-46.00,
20.00,-46.00,
30.00,-48.00,
50.00,-48.00,
70.00,-54.80,
86.00,-53.70,
104.50,-50.10,
120.00,-65.00,
169.00,-65.00,
170.00,-58.00,
180.00,-58.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,15
-180.00,-70.00,
-13.10,-70.00,
-12.00,-64.00,
-8.50,-64.00,
-5.00,-47.00,
-2.10,-47.00,
-0.50,-25.00,
0.00,-25.00,
0.50,-25.00,
2.10,-47.00,
5.00,-47.00,
8.50,-64.00,
12.00,-64.00,
13.10,-70.00,
180.00,-70.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,35
-180.00,-58.00,
-170.00,-58.00,
-169.00,-65.00,
-168.00,-70.00,
-120.50,-70.00,
-104.50,-50.10,
-80.00,-56.80,
-60.00,-56.80,
-50.00,-52.00,
-30.00,-52.00,
-15.00,-46.00,
-12.00,-40.00,
-10.00,-40.00,
-4.00,-31.00,
-1.60,-20.00,
-1.10,-20.00,
-0.50,-4.00,
0.00,0.00,
0.50,-4.00,
1.10,-20.00,
1.60,-20.00,
4.00,-31.00,
10.00,-40.00,
12.00,-40.00,
15.00,-46.00,
30.00,-52.00,
50.00,-52.00,
60.00,-56.80,
80.00,-56.80,
104.50,-50.10,
120.50,-70.00,
168.00,-70.00,
169.00,-65.00,
170.00,-58.00,
180.00,-58.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,17
-180.00,-70.00,
-100.00,-70.00,
-60.00,-66.00,
-15.00,-66.00,
-10.20,-62.00,
-6.00,-51.00,
-2.10,-47.00,
-0.50,-25.00,
0.00,-25.00,
0.50,-25.00,
2.10,-47.00,
6.00,-51.00,
10.20,-62.00,
15.00,-66.00,
60.00,-66.00,
100.00,-70.00,
180.00,-70.00,
ENDFIL:,EOF
