REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VP4-71
PATNUM:,1339A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20000809
LOWFRQ:,7125
HGHFRQ:,7750
GUNITS:,DBI/DBR
LWGAIN:,36.8
MDGAIN:,37.2
HGGAIN:,37.5
AZWIDT:,2.40
ELWIDT:,2.40
ATVSWR:,1.15
FRTOBA:,45.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,61
-180.00,-45.00,
-170.00,-45.00,
-170.00,-50.00,
-135.00,-50.00,
-130.00,-48.00,
-120.00,-48.00,
-105.00,-38.00,
-85.00,-36.00,
-60.00,-36.00,
-60.00,-35.00,
-30.00,-35.00,
-20.00,-35.00,
-18.00,-34.00,
-15.00,-32.00,
-12.00,-28.00,
-10.00,-28.00,
-9.00,-22.00,
-6.00,-22.00,
-4.00,-18.00,
-2.70,-18.00,
-2.60,-16.40,
-2.30,-13.30,
-2.10,-10.30,
-1.80,-7.30,
-1.50,-4.60,
-1.20,-3.00,
-0.90,-1.60,
-0.70,-0.80,
-0.40,-0.30,
-0.20,0.00,
0.00,0.00,
0.20,0.00,
0.40,-0.30,
0.70,-0.80,
0.90,-1.60,
1.20,-3.00,
1.50,-4.60,
1.80,-7.30,
2.10,-10.30,
2.30,-13.30,
2.60,-16.40,
2.70,-18.00,
4.00,-18.00,
6.00,-22.00,
9.00,-22.00,
10.00,-28.00,
12.00,-28.00,
15.00,-32.00,
18.00,-34.00,
20.00,-35.00,
30.00,-35.00,
60.00,-35.00,
60.00,-36.00,
85.00,-36.00,
105.00,-38.00,
120.00,-48.00,
130.00,-48.00,
135.00,-50.00,
170.00,-50.00,
170.00,-45.00,
180.00,-45.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,17
-180.00,-52.00,
-80.00,-52.00,
-50.00,-48.00,
-25.00,-46.00,
-15.00,-44.00,
-7.00,-44.00,
-5.00,-40.00,
-3.00,-32.00,
0.00,-32.00,
3.00,-32.00,
5.00,-40.00,
7.00,-44.00,
15.00,-44.00,
25.00,-46.00,
50.00,-48.00,
80.00,-52.00,
180.00,-52.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,53
-180.00,-45.00,
-175.00,-45.00,
-175.00,-50.00,
-120.00,-50.00,
-100.00,-40.00,
-80.00,-38.00,
-45.00,-35.00,
-25.00,-35.00,
-23.00,-29.00,
-20.00,-29.00,
-20.00,-27.00,
-15.00,-27.00,
-15.00,-26.00,
-10.00,-26.00,
-8.00,-22.00,
-3.10,-22.00,
-3.00,-20.00,
-2.60,-14.90,
-2.30,-11.00,
-2.10,-8.30,
-1.80,-6.00,
-1.40,-3.80,
-1.20,-2.30,
-0.90,-1.10,
-0.60,-0.40,
-0.30,-0.10,
0.00,0.00,
0.30,-0.10,
0.60,-0.40,
0.90,-1.10,
1.20,-2.30,
1.40,-3.80,
1.80,-6.00,
2.10,-8.30,
2.30,-11.00,
2.60,-14.90,
3.00,-20.00,
3.10,-22.00,
8.00,-22.00,
10.00,-26.00,
15.00,-26.00,
15.00,-27.00,
20.00,-27.00,
20.00,-29.00,
23.00,-29.00,
25.00,-35.00,
45.00,-35.00,
80.00,-38.00,
100.00,-40.00,
120.00,-50.00,
175.00,-50.00,
175.00,-45.00,
180.00,-45.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,21
-180.00,-50.00,
-170.00,-50.00,
-170.00,-54.00,
-110.00,-54.00,
-70.00,-52.00,
-15.00,-52.00,
-12.50,-48.00,
-10.00,-48.00,
-5.00,-40.00,
-3.00,-32.00,
0.00,-32.00,
3.00,-32.00,
5.00,-40.00,
10.00,-48.00,
12.50,-48.00,
15.00,-52.00,
70.00,-52.00,
110.00,-54.00,
170.00,-54.00,
170.00,-50.00,
180.00,-50.00,
ENDFIL:,EOF
