REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHX12-59W
PATNUM:,1119
FEDORN:,RIGHT
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19911224
LOWFRQ:,5925
HGHFRQ:,7125
GUNITS:,DBI/DBR
LWGAIN:,44.1
MDGAIN:,44.8
HGGAIN:,45.4
AZWIDT:,1.00
ELWIDT:,1.00
ATVSWR:,1.08
FRTOBA:,74.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,42
-180.00,-74.00,
-110.00,-74.00,
-90.00,-68.00,
-70.00,-51.00,
-55.00,-51.00,
-45.00,-50.00,
-35.00,-45.00,
-25.00,-45.00,
-15.00,-41.00,
-12.50,-41.00,
-10.00,-38.00,
-8.00,-34.00,
-6.00,-32.00,
-5.00,-27.00,
-3.00,-27.00,
-2.00,-20.00,
-1.00,-10.00,
-0.50,-3.00,
-0.40,-1.90,
-0.30,-1.10,
-0.20,-0.50,
-0.10,-0.10,
0.00,0.00,
0.10,-0.10,
0.20,-0.50,
0.30,-1.10,
0.40,-1.90,
0.50,-3.00,
1.00,-10.00,
2.00,-20.00,
2.50,-28.00,
6.00,-31.00,
7.00,-38.00,
8.50,-44.00,
12.50,-47.00,
20.00,-47.00,
25.00,-50.00,
40.00,-52.00,
70.00,-58.00,
85.00,-65.00,
100.00,-74.00,
180.00,-74.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,21
-180.00,-74.00,
-80.00,-74.00,
-50.00,-70.00,
-40.00,-63.00,
-20.00,-63.00,
-15.00,-59.00,
-10.00,-57.00,
-2.00,-50.00,
-1.00,-36.00,
0.00,-36.00,
1.00,-36.00,
2.00,-50.00,
4.00,-54.00,
6.00,-54.00,
8.00,-60.00,
15.00,-65.00,
40.00,-65.00,
55.00,-72.00,
75.00,-72.00,
80.00,-74.00,
180.00,-74.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,40
-180.00,-74.00,
-110.00,-74.00,
-90.00,-69.00,
-80.00,-64.00,
-70.00,-56.00,
-50.00,-56.00,
-40.00,-50.00,
-30.00,-50.00,
-20.00,-46.00,
-15.00,-41.00,
-12.50,-41.00,
-9.00,-39.00,
-5.50,-32.00,
-4.00,-26.00,
-3.00,-26.00,
-2.00,-20.00,
-1.00,-10.00,
-0.50,-3.00,
-0.40,-1.90,
-0.30,-1.10,
-0.20,-0.50,
-0.10,-0.10,
0.00,0.00,
0.10,-0.10,
0.20,-0.50,
0.30,-1.10,
0.40,-1.90,
0.50,-3.00,
1.00,-10.00,
2.00,-20.00,
2.50,-28.00,
4.50,-28.00,
10.50,-47.00,
20.00,-47.00,
25.00,-50.00,
30.00,-50.00,
45.00,-52.00,
70.00,-52.00,
100.00,-74.00,
180.00,-74.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,23
-180.00,-74.00,
-80.00,-74.00,
-70.00,-66.00,
-45.00,-66.00,
-40.00,-62.00,
-20.00,-62.00,
-15.00,-58.00,
-9.00,-56.00,
-4.00,-56.00,
-2.00,-50.00,
-1.00,-36.00,
0.00,-36.00,
1.00,-36.00,
2.00,-50.00,
4.00,-58.00,
6.00,-58.00,
10.00,-62.00,
15.00,-63.00,
35.00,-64.00,
40.00,-68.00,
70.00,-68.00,
80.00,-74.00,
180.00,-74.00,
ENDFIL:,EOF
