REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PL12-77
PATNUM:,2748H
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20001109
LOWFRQ:,7725
HGHFRQ:,8500
GUNITS:,DBI/DBR
LWGAIN:,46.3
MDGAIN:,46.7
HGGAIN:,47.1
AZWIDT:,0.70
ELWIDT:,0.70
ATVSWR:,1.06
FRTOBA:,54.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,35
-180.00,-54.00,
-170.00,-54.00,
-170.00,-65.00,
-128.00,-65.00,
-107.20,-51.00,
-75.00,-49.00,
-61.00,-49.00,
-48.00,-45.00,
-37.50,-45.00,
-33.50,-43.00,
-14.30,-43.00,
-12.00,-36.80,
-8.50,-36.80,
-2.80,-22.50,
-1.50,-22.50,
-1.00,-15.00,
-0.50,-2.00,
0.00,0.00,
0.50,-2.00,
1.00,-15.00,
1.50,-22.50,
2.80,-22.50,
8.50,-36.80,
12.00,-36.80,
14.30,-43.00,
33.50,-43.00,
37.50,-45.00,
48.00,-45.00,
61.00,-49.00,
75.00,-49.00,
107.20,-51.00,
128.00,-65.00,
170.00,-65.00,
170.00,-54.00,
180.00,-54.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,17
-180.00,-65.00,
-93.00,-65.00,
-28.00,-60.00,
-20.00,-55.00,
-8.90,-55.00,
-5.00,-44.80,
-1.70,-44.80,
-1.70,-30.00,
0.00,-30.00,
1.70,-30.00,
1.70,-44.80,
5.00,-44.80,
8.90,-55.00,
20.00,-55.00,
28.00,-60.00,
93.00,-65.00,
180.00,-65.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,33
-180.00,-54.00,
-170.00,-54.00,
-170.00,-65.00,
-128.00,-65.00,
-108.00,-52.00,
-60.50,-52.00,
-47.80,-45.00,
-33.00,-43.00,
-31.00,-40.00,
-15.00,-38.00,
-10.30,-35.00,
-7.70,-35.00,
-2.80,-22.50,
-1.50,-22.50,
-1.00,-10.00,
-0.50,-2.00,
0.00,0.00,
0.50,-2.00,
1.00,-10.00,
1.50,-22.50,
2.80,-22.50,
7.70,-35.00,
10.30,-35.00,
15.00,-38.00,
31.00,-40.00,
33.00,-43.00,
47.80,-45.00,
60.50,-52.00,
108.00,-52.00,
128.00,-65.00,
170.00,-65.00,
170.00,-54.00,
180.00,-54.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,21
-180.00,-65.00,
-93.00,-65.00,
-65.00,-63.00,
-28.00,-63.00,
-15.00,-59.80,
-11.20,-55.00,
-6.00,-55.00,
-4.10,-49.00,
-2.00,-49.00,
-1.70,-30.00,
0.00,-30.00,
1.70,-30.00,
2.00,-49.00,
4.10,-49.00,
6.00,-55.00,
11.20,-55.00,
15.00,-59.80,
28.00,-63.00,
65.00,-63.00,
93.00,-65.00,
180.00,-65.00,
ENDFIL:,EOF
