REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HP6-59W
PATNUM:,4713A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20011121
LOWFRQ:,5925
HGHFRQ:,7125
GUNITS:,DBI/DBR
LWGAIN:,38.4
MDGAIN:,39.4
HGGAIN:,40.2
AZWIDT:,1.80
ELWIDT:,1.80
ATVSWR:,1.06
FRTOBA:,62.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,81
-180.00,-62.00,
-100.00,-62.00,
-99.27,-62.00,
-59.37,-42.00,
-55.00,-42.00,
-41.00,-42.00,
-30.00,-42.00,
-30.00,-39.00,
-28.33,-39.00,
-25.00,-38.00,
-20.00,-38.00,
-15.00,-38.00,
-9.89,-32.19,
-8.55,-30.67,
-7.35,-29.31,
-6.20,-25.77,
-5.95,-25.00,
-5.80,-25.00,
-5.00,-25.00,
-5.00,-25.00,
-5.00,-24.00,
-4.49,-24.00,
-3.60,-22.27,
-2.76,-20.62,
-2.60,-20.00,
-2.44,-20.00,
-2.35,-19.83,
-2.30,-19.08,
-2.00,-14.61,
-1.77,-11.23,
-1.70,-10.00,
-1.68,-9.67,
-1.40,-5.00,
-1.34,-4.55,
-1.09,-2.68,
-1.00,-2.00,
-0.84,-1.60,
-0.66,-1.14,
-0.60,-0.88,
-0.59,-0.83,
0.00,0.00,
0.59,-0.83,
0.60,-0.88,
0.66,-1.14,
0.84,-1.60,
1.00,-2.00,
1.09,-2.68,
1.34,-4.55,
1.40,-5.00,
1.68,-9.67,
1.70,-10.00,
1.77,-11.23,
2.00,-14.61,
2.30,-19.08,
2.35,-19.83,
2.44,-20.00,
2.60,-20.00,
2.76,-20.62,
3.60,-22.27,
4.49,-24.00,
5.00,-24.00,
5.00,-25.00,
5.00,-25.00,
5.80,-25.00,
5.95,-25.00,
6.20,-25.77,
7.35,-29.31,
8.55,-30.67,
9.89,-32.19,
15.00,-38.00,
20.00,-38.00,
25.00,-38.00,
28.33,-39.00,
30.00,-39.00,
30.00,-42.00,
41.00,-42.00,
55.00,-42.00,
59.37,-42.00,
99.27,-62.00,
100.00,-62.00,
180.00,-62.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,35
-180.00,-65.00,
-80.00,-65.00,
-78.81,-65.00,
-25.00,-48.01,
-24.97,-48.00,
-15.00,-48.00,
-13.41,-45.83,
-12.29,-45.35,
-11.50,-44.00,
-9.12,-44.00,
-8.72,-43.83,
-2.93,-43.83,
-2.50,-35.90,
-2.18,-30.00,
-2.00,-30.00,
-1.76,-30.00,
-0.84,-30.00,
0.00,-30.00,
0.84,-30.00,
1.76,-30.00,
2.00,-30.00,
2.18,-30.00,
2.50,-35.90,
2.93,-43.83,
8.72,-43.83,
9.12,-44.00,
11.50,-44.00,
12.29,-45.35,
13.41,-45.83,
15.00,-48.00,
24.97,-48.00,
25.00,-48.01,
78.81,-65.00,
80.00,-65.00,
180.00,-65.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,93
-180.00,-62.00,
-100.00,-62.00,
-99.00,-62.00,
-75.00,-54.68,
-47.70,-46.35,
-45.00,-45.00,
-40.00,-43.50,
-40.00,-43.50,
-40.00,-42.00,
-35.00,-42.00,
-30.00,-42.00,
-30.00,-40.50,
-28.75,-40.12,
-28.00,-39.00,
-25.00,-39.00,
-20.00,-37.50,
-17.00,-36.60,
-15.00,-35.00,
-14.00,-32.50,
-13.00,-29.00,
-10.00,-29.00,
-10.00,-28.00,
-8.00,-28.00,
-7.00,-27.00,
-6.67,-26.67,
-6.50,-26.00,
-6.00,-26.00,
-5.00,-25.00,
-5.00,-23.00,
-3.50,-20.00,
-3.44,-20.00,
-3.35,-19.83,
-2.30,-19.83,
-2.29,-19.83,
-2.26,-19.33,
-2.00,-15.00,
-1.70,-10.00,
-1.68,-9.67,
-1.40,-5.00,
-1.34,-4.55,
-1.01,-2.07,
-1.00,-2.00,
-0.83,-1.58,
-0.75,-1.00,
-0.60,-0.62,
-0.42,-0.17,
0.00,0.00,
0.42,-0.17,
0.60,-0.62,
0.75,-1.00,
0.83,-1.58,
1.00,-2.00,
1.01,-2.08,
1.34,-4.55,
1.40,-5.00,
1.68,-9.67,
1.70,-10.00,
2.00,-15.00,
2.26,-19.33,
2.29,-19.83,
2.30,-19.83,
3.35,-19.83,
3.44,-20.00,
3.50,-20.00,
5.00,-23.00,
5.00,-25.00,
6.00,-26.00,
6.50,-26.00,
6.67,-26.67,
7.00,-27.00,
8.00,-28.00,
10.00,-28.00,
10.00,-29.00,
13.00,-29.00,
14.00,-32.50,
15.00,-35.00,
17.00,-36.60,
20.00,-37.50,
25.00,-39.00,
28.00,-39.00,
28.75,-40.12,
30.00,-40.50,
30.00,-42.00,
35.00,-42.00,
40.00,-42.00,
40.00,-43.50,
40.00,-43.50,
45.00,-45.00,
47.70,-46.35,
75.00,-54.68,
99.00,-62.00,
100.00,-62.00,
180.00,-62.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,61
-180.00,-65.00,
-85.00,-65.00,
-80.00,-62.00,
-75.00,-59.00,
-66.67,-59.00,
-65.00,-58.00,
-60.00,-55.00,
-55.00,-55.00,
-54.03,-55.00,
-50.00,-50.83,
-42.00,-50.83,
-20.00,-50.83,
-15.00,-50.83,
-12.91,-48.00,
-9.60,-48.00,
-8.88,-47.60,
-8.66,-47.48,
-6.00,-41.12,
-5.95,-41.00,
-4.00,-40.42,
-2.81,-40.06,
-2.60,-39.00,
-2.51,-38.53,
-2.40,-36.88,
-2.28,-35.00,
-2.18,-32.83,
-2.12,-32.44,
-2.00,-30.00,
-1.76,-30.00,
-0.84,-30.00,
0.00,-30.00,
0.84,-30.00,
1.76,-30.00,
2.00,-30.00,
2.12,-32.44,
2.18,-32.83,
2.28,-35.00,
2.40,-36.88,
2.51,-38.53,
2.60,-39.00,
2.81,-40.06,
4.00,-40.42,
5.95,-41.00,
6.00,-41.12,
8.66,-47.48,
8.88,-47.60,
9.60,-48.00,
12.91,-48.00,
15.00,-50.83,
20.00,-50.83,
42.00,-50.83,
50.00,-50.83,
54.03,-55.00,
55.00,-55.00,
60.00,-55.00,
65.00,-58.00,
66.67,-59.00,
75.00,-59.00,
80.00,-62.00,
85.00,-65.00,
180.00,-65.00,
ENDFIL:,EOF
