REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HSX10-44
PATNUM:,2412B
FEDORN:,LEFT 
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19960612
LOWFRQ:,4400
HGHFRQ:,5000
GUNITS:,DBI/DBR
LWGAIN:,40.0
MDGAIN:,40.6
HGGAIN:,41.1
AZWIDT:,1.50
ELWIDT:,1.50
ATVSWR:,1.06
FRTOBA:,71.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,52
-180.00,-71.00,
-87.00,-71.00,
-85.00,-66.00,
-81.00,-66.00,
-66.00,-55.00,
-43.00,-55.00,
-40.00,-52.00,
-27.00,-52.00,
-24.00,-45.00,
-15.00,-45.00,
-13.50,-45.00,
-13.00,-41.50,
-11.50,-41.50,
-11.00,-36.00,
-8.50,-36.00,
-8.00,-33.70,
-6.40,-33.70,
-5.50,-28.80,
-2.30,-28.80,
-2.02,-21.24,
-1.73,-13.21,
-1.44,-8.51,
-1.16,-4.94,
-0.87,-2.95,
-0.58,-1.48,
-0.29,-0.01,
0.00,0.00,
0.29,-0.01,
0.58,-1.23,
0.87,-2.59,
1.16,-4.16,
1.44,-7.09,
1.73,-11.69,
2.02,-16.65,
2.31,-21.57,
2.50,-25.00,
3.50,-25.00,
4.30,-29.50,
7.60,-29.50,
10.50,-34.00,
11.00,-36.00,
12.50,-36.00,
13.25,-37.00,
15.00,-37.00,
25.00,-39.00,
29.00,-48.00,
59.00,-48.00,
72.00,-55.00,
86.00,-68.00,
91.00,-68.00,
95.00,-71.00,
180.00,-71.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,26
-180.00,-72.00,
-67.00,-72.00,
-55.00,-66.00,
-40.00,-66.00,
-38.00,-64.00,
-15.00,-64.00,
-13.50,-64.00,
-13.00,-62.00,
-9.20,-62.00,
-7.00,-58.50,
-4.00,-58.50,
-1.50,-40.00,
0.00,-40.00,
1.50,-40.00,
3.00,-55.00,
7.00,-55.00,
8.00,-57.50,
15.00,-57.50,
19.00,-57.50,
22.00,-62.00,
34.00,-62.00,
40.00,-64.00,
48.00,-68.00,
75.00,-68.00,
80.00,-72.00,
180.00,-72.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,55
-180.00,-71.00,
-92.00,-71.00,
-86.00,-67.50,
-82.00,-67.50,
-79.00,-62.00,
-74.00,-62.00,
-65.00,-54.00,
-55.00,-54.00,
-52.00,-50.80,
-39.00,-50.80,
-36.00,-47.70,
-24.00,-47.70,
-22.00,-44.80,
-15.00,-40.50,
-14.00,-40.50,
-12.80,-36.30,
-11.60,-36.30,
-11.00,-32.70,
-8.50,-32.70,
-8.00,-31.00,
-2.60,-31.00,
-2.31,-25.75,
-2.02,-17.43,
-1.73,-11.95,
-1.44,-7.47,
-1.16,-4.31,
-0.87,-2.66,
-0.58,-1.33,
-0.29,0.00,
0.00,0.00,
0.29,-0.01,
0.58,-1.32,
0.87,-2.63,
1.16,-4.45,
1.44,-7.28,
1.73,-12.08,
2.02,-17.30,
2.31,-22.29,
2.50,-26.00,
3.00,-26.00,
3.50,-27.40,
5.40,-27.40,
6.00,-31.80,
9.00,-31.80,
9.70,-35.80,
15.00,-35.80,
20.00,-35.80,
25.00,-40.00,
29.00,-47.00,
35.00,-48.50,
60.00,-48.50,
69.00,-54.00,
72.00,-60.00,
92.00,-71.00,
180.00,-71.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,29
-180.00,-72.00,
-80.00,-72.00,
-72.00,-66.50,
-15.00,-66.50,
-14.50,-66.50,
-13.50,-61.50,
-11.50,-61.50,
-11.00,-58.50,
-6.50,-58.50,
-4.50,-53.50,
-3.00,-53.50,
-1.50,-40.00,
0.00,-40.00,
1.50,-40.00,
4.00,-51.50,
7.00,-51.50,
7.50,-54.50,
9.00,-54.50,
10.00,-56.50,
15.00,-56.50,
20.00,-56.50,
26.00,-60.50,
32.00,-60.50,
36.00,-63.50,
65.00,-63.50,
70.00,-65.50,
77.00,-65.50,
82.00,-72.00,
180.00,-72.00,
ENDFIL:,EOF
