REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UMX10-611
PATNUM:,4123A
FEDORN:,RIGHT
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19860124
LOWFRQ:,10700
HGHFRQ:,11700
GUNITS:,DBI/DBR
LWGAIN:,47.0
MDGAIN:,47.4
HGGAIN:,47.3
AZWIDT:,0.80
ELWIDT:,0.80
ATVSWR:,1.13
FRTOBA:,82.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,39
-180.00,-82.00,
-95.00,-82.00,
-88.00,-80.00,
-67.00,-57.00,
-44.00,-57.00,
-32.00,-52.00,
-22.00,-52.00,
-19.00,-50.00,
-15.00,-50.00,
-13.00,-47.50,
-9.60,-47.50,
-7.90,-40.00,
-5.50,-34.00,
-4.40,-31.00,
-2.20,-31.00,
-1.10,-24.00,
-0.60,-5.00,
-0.40,-2.00,
0.00,0.00,
0.40,-2.00,
0.60,-5.00,
1.30,-26.50,
2.00,-26.50,
2.40,-29.50,
5.30,-36.80,
6.30,-43.00,
8.50,-43.00,
9.50,-47.50,
15.00,-47.50,
16.00,-47.50,
21.00,-52.50,
32.50,-52.50,
35.00,-54.50,
49.00,-54.50,
71.00,-65.00,
77.00,-77.50,
82.00,-77.50,
85.00,-82.00,
180.00,-82.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,27
-180.00,-85.00,
-85.00,-85.00,
-69.00,-73.00,
-45.00,-70.00,
-38.00,-70.00,
-25.00,-67.00,
-15.00,-67.00,
-14.00,-67.00,
-7.50,-60.50,
-3.50,-60.50,
-2.00,-46.50,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
1.50,-47.00,
2.00,-55.00,
7.50,-55.00,
12.20,-65.00,
14.00,-68.00,
15.00,-68.00,
21.00,-68.00,
29.00,-69.50,
58.00,-69.50,
67.00,-72.00,
78.00,-77.00,
83.00,-85.00,
180.00,-85.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,44
-180.00,-82.00,
-86.00,-82.00,
-80.00,-76.00,
-71.00,-65.50,
-51.00,-65.50,
-46.00,-61.00,
-34.00,-51.50,
-21.00,-51.50,
-17.00,-49.50,
-15.00,-47.63,
-13.25,-46.00,
-9.00,-46.00,
-6.50,-39.00,
-5.30,-34.00,
-4.50,-32.00,
-1.70,-32.00,
-1.10,-17.50,
-0.60,-5.00,
-0.40,-2.00,
0.00,0.00,
0.40,-2.00,
0.60,-5.00,
1.10,-17.50,
1.50,-29.00,
2.10,-29.00,
4.60,-35.00,
5.60,-38.80,
7.40,-42.70,
9.50,-42.70,
11.50,-48.20,
15.00,-48.20,
18.00,-48.20,
22.00,-53.00,
30.00,-53.00,
35.80,-55.00,
44.00,-55.00,
48.00,-57.00,
53.00,-60.50,
62.00,-66.50,
67.50,-66.50,
72.00,-69.00,
82.00,-78.50,
93.00,-82.00,
180.00,-82.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,28
-180.00,-85.00,
-83.00,-85.00,
-75.00,-75.00,
-68.00,-70.50,
-64.00,-70.50,
-50.00,-65.00,
-25.00,-65.00,
-23.00,-63.00,
-15.00,-63.00,
-11.00,-63.00,
-9.00,-61.00,
-6.80,-56.00,
-3.30,-56.00,
-2.50,-53.00,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
2.50,-53.00,
9.70,-53.00,
12.50,-65.00,
15.00,-65.00,
17.00,-67.00,
40.00,-67.00,
51.00,-68.50,
56.00,-70.50,
68.00,-70.50,
89.00,-85.00,
180.00,-85.00,
ENDFIL:,EOF
