REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VP2-71
PATNUM:,1337
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19980331
LOWFRQ:,7125
HGHFRQ:,7750
GUNITS:,DBI/DBR
LWGAIN:,30.6
MDGAIN:,31.0
HGGAIN:,31.4
AZWIDT:,4.90
ELWIDT:,4.90
ATVSWR:,1.15
FRTOBA:,40.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,41
-180.0,-40.0,
-120.0,-40.0,
-120.0,-40.0,
-93.0,-31.0,
-42.0,-31.0,
-38.0,-28.0,
-18.0,-28.0,
-15.0,-20.0,
-10.0,-20.0,
-7.5,-17.0,
-4.9,-17.0,
-4.6,-15.0,
-4.2,-11.8,
-3.6,-8.6,
-3.0,-5.7,
-2.5,-3.7,
-2.0,-2.3,
-1.5,-1.2,
-0.9,-0.4,
-0.5,0.0,
0.0,0.0,
0.5,0.0,
0.9,-0.4,
1.5,-1.2,
2.0,-2.3,
2.5,-3.7,
3.0,-5.7,
3.6,-8.6,
4.2,-11.8,
4.6,-15.0,
4.9,-17.0,
7.5,-17.0,
10.0,-20.0,
15.0,-20.0,
18.0,-28.0,
38.0,-28.0,
42.0,-31.0,
93.0,-31.0,
120.0,-40.0,
120.0,-40.0,
180.0,-40.0,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,19
-180.0,-44.0,
-105.0,-44.0,
-90.0,-43.0,
-46.0,-43.0,
-40.0,-36.0,
-15.0,-36.0,
-9.0,-36.0,
-7.0,-34.0,
-5.0,-30.0,
0.0,-30.0,
5.0,-30.0,
7.0,-34.0,
9.0,-36.0,
15.0,-36.0,
40.0,-36.0,
46.0,-43.0,
90.0,-43.0,
105.0,-44.0,
180.0,-44.0,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,39
-180.0,-42.0,
-125.0,-42.0,
-107.0,-34.0,
-80.0,-29.0,
-26.0,-28.0,
-23.0,-22.0,
-17.0,-22.0,
-15.0,-19.5,
-11.0,-19.5,
-10.0,-17.0,
-5.6,-17.0,
-5.1,-14.1,
-4.4,-10.4,
-3.8,-7.5,
-3.2,-5.2,
-2.5,-3.2,
-1.8,-1.5,
-1.1,-0.5,
-0.5,0.0,
0.0,0.0,
0.5,0.0,
1.1,-0.5,
1.8,-1.5,
2.5,-3.2,
3.2,-5.2,
3.8,-7.5,
4.4,-10.4,
5.1,-14.1,
5.6,-17.0,
10.0,-17.0,
11.0,-19.5,
15.0,-19.5,
17.0,-22.0,
23.0,-22.0,
26.0,-28.0,
80.0,-29.0,
107.0,-34.0,
125.0,-42.0,
180.0,-42.0,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,15
-180.0,-44.0,
-110.0,-44.0,
-105.0,-42.0,
-15.0,-42.0,
-10.0,-38.0,
-7.0,-34.0,
-5.0,-30.0,
0.0,-30.0,
5.0,-30.0,
7.0,-34.0,
10.0,-38.0,
15.0,-42.0,
105.0,-42.0,
110.0,-44.0,
180.0,-44.0,
ENDFIL:,EOF
